controller_id,device_id,band,collection_time,jitter,latency,wan_bandwidth,upload_bandwidth,wan_connectivity,wan_throughput,memory_free,memory_total,cpu_usage,number_of_alerts,is_controller,connectivity_score,available_bandwidth_score,internet_delay_score,internet_jitter_score,system_health_score,congestion_score,wifi_coverage_score,wifi_availability_score,noise,utilization,transmit,receive_self,receive_other,congestion_rate,associated_device_number_of_entries,average_rx_rate,average_tx_rate,bandwidth,bytes_sent,errors_pkt,ip_address,packets_received,packets_sent,errors_sent,errors_received,bytes_received,backhaul_sta_mac_address,backhaul_sta_backhaul_link_type,backhaul_sta_link_rate,backhaul_sta_signal_strength,backhaul_sta_utilization
74:FE:CE:72:5E:EC,3C:52:A1:01:2F:3A,2.4GHz,1649317510,34,236,0,,0,23,,,,3,0,5.0,1.0,1.0,3.6,5.0,,0.0,1.0,22,237,,,,,0,0,1,20MHz,273105,20,192.168.0.6,1011,939,,,,42:52:A1:01:2F:3A,NULL,0,0,0
74:FE:CE:72:5E:EC,3C:52:A1:01:2F:3A,5GHz,1649317510,34,236,0,,0,23,,,,3,0,5.0,1.0,1.0,3.6,5.0,,4.3,5.0,4,40,,,,,1,25,31,160MHz,145870922,6,192.168.0.6,349699,381010,,,,42:52:A1:01:2F:3C,Wi-Fi,1921,176,40
74:FE:CE:72:5E:EC,74:FE:CE:72:5E:EC,2.4GHz,1649317510,2,80,0,,0,3,,,,2,1,5.0,1.0,4.5,5.0,5.0,,0.0,1.0,32,242,,,,,0,4,4,20MHz,2135541,101,192.168.0.1,6064,8284,,,,0,NULL,0,0,0
74:FE:CE:72:5E:EC,74:FE:CE:72:5E:EC,5GHz,1649317510,2,80,0,,0,3,,,,2,1,5.0,1.0,4.5,5.0,5.0,,0.0,4.4,8,73,,,,,1,28,25,160MHz,213479290,32,192.168.0.1,484875,523406,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,2.4GHz,1722300850,1,6,0,0,0,1,190216,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.8,---,2.6,102,145,9,0,129,136,0,0,0,40MHz,0,6728212,192.168.0.1,39476795,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,5GHz,1722300850,1,6,0,0,0,1,190216,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.8,---,3.1,46,137,1,0,115,136,0,0,0,80MHz,0,282176300,192.168.0.1,397316972,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,6GHz,1722300850,1,6,0,0,0,1,190216,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.8,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,1087706,192.168.0.1,1156035,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,2.4GHz,1722324250,330,208,0,0,0,2,187688,490084,2,4,1,5.0,1.0,1.0,1.0,5.0,2.5,---,3.1,106,153,8,0,107,145,0,0,0,40MHz,0,7518695,192.168.0.1,42204208,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,5GHz,1722324250,330,208,0,0,0,2,187688,490084,2,4,1,5.0,1.0,1.0,1.0,5.0,2.5,---,2.9,54,155,1,0,124,154,0,0,0,80MHz,0,314501118,192.168.0.1,435993575,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,6GHz,1722324250,330,208,0,0,0,2,187688,490084,2,4,1,5.0,1.0,1.0,1.0,5.0,2.5,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,1092293,192.168.0.1,1163371,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,2.4GHz,1722324550,375,259,0,0,0,2,188048,490084,2,5,1,5.0,1.0,1.0,1.0,5.0,2.0,---,1.2,66,188,9,0,188,179,0,0,0,40MHz,0,30757381,192.168.0.1,79494698,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,5GHz,1722324550,375,259,0,0,0,2,188048,490084,2,5,1,5.0,1.0,1.0,1.0,5.0,2.0,---,2.9,44,150,2,0,126,148,0,0,0,80MHz,0,317701611,192.168.0.1,436480345,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,6GHz,1722324550,375,259,0,0,0,2,188048,490084,2,5,1,5.0,1.0,1.0,1.0,5.0,2.0,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,2451698,192.168.0.1,2510496,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,2.4GHz,1722325210,63,426,0,0,0,1,186896,490084,2,5,1,5.0,1.0,1.0,1.0,5.0,2.4,---,1.5,106,145,10,0,171,135,0,0,0,40MHz,0,7553939,192.168.0.1,42290407,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,5GHz,1722325210,63,426,0,0,0,1,186896,490084,2,5,1,5.0,1.0,1.0,1.0,5.0,2.4,---,2.9,46,160,1,0,125,159,0,0,0,80MHz,0,314829952,192.168.0.1,436494828,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,6GHz,1722325210,63,426,0,0,0,1,186896,490084,2,5,1,5.0,1.0,1.0,1.0,5.0,2.4,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,1092415,192.168.0.1,1163717,0,,,,0,NULL,0,0,0
